상품번호,최저연회비,全가맹점,백화점,대형마트,편의점,온라인쇼핑,해외직구,대중교통,병원,교육,영화,요식,커피,베이커리,배달앱,일반주유,전기차충전,아파트관리비/공과금,통신,렌탈,정기구독/스트리밍,호텔/숙박,스포츠/레저,항공/라운지,항공구분
BFBBQ0,0.0005771240264965632,0.12695960906791368,0.12513695293948673,0.09111530120409991,0.15101867132436145,0.14068813820625378,1.0,0.148159079717868,0.15723765286415864,0.10852623329871243,0.16137232326701664,0.19727912236355394,0.1574244151201094,0.15498715308844987,0.1414628962024327,0.11774736079618595,0.1073751234752623,0.12253095366021635,0.14095922631508534,0.10922893206789172,0.1301757622673576,0.12227736927173755,0.19920941735370926,0.6641699709074829,0.0
AFJAPT,0.00040865376446395696,0.06292544333374309,0.02890721811346537,0.0,0.060996722366854904,0.06995478571410571,0.4468064989786441,0.07366958441135904,0.07818375061709512,0.05396282509361546,0.07998153946694407,0.7653699494082647,0.4669812972706637,0.9507781277921418,0.07034002096061619,0.7317755212339794,0.053390455297131253,0.06092643428175262,0.05758730355811955,0.054312230114154134,0.06472768543736813,0.06080034375427354,1.0,0.2853798850325482,0.0
AFJAPU,0.00040865376446395696,0.06292544333374309,0.02890721811346537,0.0,0.060996722366854904,0.06995478571410571,0.4468064989786441,0.07366958441135904,0.07818375061709512,0.05396282509361546,0.07998153946694407,0.7653699494082647,0.4669812972706637,0.9507781277921418,0.07034002096061619,0.7317755212339794,0.053390455297131253,0.06092643428175262,0.05758730355811955,0.054312230114154134,0.06472768543736813,0.06080034375427354,1.0,0.2853798850325482,1.0
BFAB8J,0.0004903625993931277,0.12695960906791368,0.12513695293948673,0.09111530120409991,0.15101867132436145,0.14068813820625378,1.0,0.148159079717868,0.15723765286415864,0.10852623329871243,0.16137232326701664,0.19727912236355394,0.1574244151201094,0.15498715308844987,0.1414628962024327,0.11774736079618595,0.1073751234752623,0.12253095366021635,0.14095922631508534,0.10922893206789172,0.1301757622673576,0.12227736927173755,0.19920941735370926,0.6641699709074829,1.0
BEKBCU,9.599099595205894e-05,0.1009612804359702,0.08606699330953507,0.05412183815288043,0.8669504674985191,0.111969891903739,0.08776037301078456,1.0,0.12514120393424094,0.08637309986547702,0.8511825994124771,0.15700912875489126,0.5606791369632308,0.12335009190569113,0.11258650088150891,0.06085622831629757,0.0854569626264435,0.0975190788016741,0.10710963021804518,0.08693235884941884,0.10360337563209678,0.09731725783134594,0.15841603482077088,0.051838267973362995,0.5
AXCB5L,9.599099595205894e-05,0.09871482019147294,0.0826910412510262,0.05092531174430451,1.0,0.7342595808143803,0.08536387683898256,0.11530255626163685,0.12236781809350636,0.08445889475431999,0.9791723185086004,0.15352948431433028,0.6381825655537481,0.12061640078246749,0.11009135301984452,0.055940386640865127,0.08356306099621062,0.09535785592825373,0.104184758661846,0.08500575941170424,0.10130731225730816,0.0951605077247192,0.15489116545719886,0.04989280128003309,0.5
ATAAMK,9.599099595205894e-05,0.10043079507746043,0.08526978661849449,0.05336700153291664,0.11372333825379465,0.11138390772755458,0.3048666284869063,0.5722393906103906,0.1244862889026432,0.08592107415652413,0.500470261435824,0.15618743585689357,0.10878197349872128,0.12270455049488249,0.11199728973870227,0.05969538781624561,0.08500973143784031,1.0,0.4883111719297306,0.08647740630978488,0.10306117685269729,0.09680795687383627,0.15758366238390495,0.05137886006761085,0.5
APB9YL,0.00034420988579507514,0.041729900859353526,0.42672100836720883,0.24106064637975905,0.031199128834095598,0.3457441597951258,0.02457306544386141,0.5479071693552596,0.6296137385720321,0.7667797011031882,0.05304089309044699,0.463839995131785,0.0011497656979848946,0.051272120812495256,0.046798089777398,0.3817118934703528,0.03552133317745624,0.04053511361520103,0.4487788894447285,0.03613460141440678,0.04306413323187892,0.04045122402084976,0.0654774325271674,0.15971743019076584,0.5
BMABZ2,0.00018000309830408244,0.07609528018349873,0.04869868245478439,0.01873958437056667,0.5954738421253457,0.44723722568801666,0.06123362963348886,0.08898975746210062,0.09444268025244727,0.06518482159796413,0.5923696155284892,0.6017036575576802,0.37335159223065023,0.09309094784704759,0.08496778494381131,0.006442926036929369,0.06449342297294476,0.07359656842217496,0.07473431575029596,0.06560688815748421,0.9891863067297446,0.0734442563717095,0.11939936283683097,0.22327731449976035,0.5
BJABE3,7.601729377597787e-05,0.4927870037591888,0.0,0.44598334184567234,0.7767308335579147,0.0487066293923214,0.44326504560447605,0.05129309036946813,0.054436117942974004,0.03757208739855247,0.7690646878840826,0.06829858737427603,0.44985207485233014,0.05365698858693511,0.0489748527910368,0.7217248034288066,0.03717356993805093,0.04242056100185549,0.7634434747442881,0.03781536369008089,0.04506721525679613,0.04233276937288953,0.0685525229362039,0.002240268364119099,0.5
